測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070516,499.2401,496.9605,516.1094,492.6292,515.4255,4673876,103273760,16.1854,3.242,22.096,1.013,10431532040.09,,22643760483.26,461368069,0,1001493166,33.7469,7.5326,5.755,-10473.5537,
600660.SH,腦珓產薛,20070517,515.4255,513.8298,537.766,506.079,532.5228,4546519,104898328,17.0973,3.3171,23.0722,0.9854,10777558091.84,,23394880357.76,461368069,0,1001493166,34.8663,7.7824,5.9459,-10820.9736,
600660.SH,腦珓產薛,20070518,532.5228,532.5228,532.5228,522.2644,529.5593,4529131,104535090,-2.9635,-0.5565,23.0806,0.9817,10717580242.87,,23264686246.18,461368069,0,1001493166,34.6722,7.7391,5.9128,-10760.7539,
600660.SH,腦珓產薛,20070521,529.5593,508.1307,539.8176,507.2189,536.8541,5420835,126414265,7.2948,1.3775,23.3201,1.1749,10865218024.95,,23585164059.3,461368069,0,1001493166,35.1499,7.8457,5.9943,-10908.9873,
600660.SH,腦珓產薛,20070522,536.8541,537.9939,551.6717,528.8754,544.1489,4539360,107795114,7.2948,1.3588,23.7468,0.9839,11012855807.03,,23905641872.42,461368069,0,1001493166,35.6275,7.9523,6.0757,-11057.2197,
600660.SH,腦珓產薛,20070523,544.1489,543.693,576.7477,532.9787,573.3283,8331500,202919733,29.1793,5.3624,24.3557,1.8058,11603406935.35,,25187553124.9,461368069,0,1001493166,37.538,8.3788,6.4015,-11650.1494,
600660.SH,腦珓產薛,20070524,573.3283,569.9088,576.7477,535.7143,546.8845,7091176,173720185,-26.4438,-4.6123,24.4981,1.537,11068219975.31,,24025821052.34,461368069,0,1001493166,35.8066,7.9923,6.1063,-11112.8066,
600660.SH,腦珓產薛,20070525,546.8845,546.2006,560.7903,539.1337,555.3192,4017531,97689495,8.4347,1.5423,24.3158,0.8708,11238926160.84,,24396373523.76,461368069,0,1001493166,36.3588,8.1156,6.2004,-11284.2002,
600660.SH,腦珓產薛,20070528,555.3192,566.4894,581.307,555.3192,576.0638,5771413,144741023,20.7447,3.7356,25.079,1.2509,11658771103.63,,25307732304.82,461368069,0,1001493166,37.7171,8.4188,6.4321,-11705.7363,
600660.SH,腦珓產薛,20070529,576.0638,574.4681,591.3374,563.2979,587.69,5186871,131396973,11.6261,2.0182,25.3326,1.1242,11894068818.82,,25818493819.48,461368069,0,1001493166,38.4783,8.5887,6.5619,-11941.9824,
